OLDid,NEWid,name,displayName,slug,url,inStock,stockOnHand,price,type,descriptionShort,descriptionLong,weight,height,width,length,imgFront,imgBack,imgSide,imgInside,imgStrap1,imgStrap2,imgStrap3,thumbSmallFront
,AZ0026,Crossbody - indigo shibori white - maroon,Indigo Shibori Crossbody // Maroon Leather,crossbody-indigo-shibori-white-maroon-leather,,,0,90,Crossbody,,,,,,,crossbody-indigo-shibori-white-maroon-leather-front-by-Azellaz.jpg,crossbody-indigo-shibori-white-maroon-leather-back-by-Azellaz.jpg,crossbody-indigo-shibori-white-maroon-leather-side-by-Azellaz.jpg,crossbody-indigo-shibori-white-maroon-leather-inside-by-Azellaz.jpg,,,,
az0013,AZ0027,Crossbody - indigo shibori white - no leather,Indigo Shibori Crossbody,crossbody-indigo-shibori-white-no-leather,,,0,70,Crossbody,,,,,,,crossbody-indigo-shibori-white-no-leather-front-by-Azellaz.jpg,crossbody-indigo-shibori-white-no-leather-back-by-Azellaz.jpg,crossbody-indigo-shibori-white-no-leather-side-by-Azellaz.jpg,crossbody-indigo-shibori-white-no-leather-inside-by-Azellaz.jpg,,,,
az0001,AZ0028,Duffle - indigo shibori,Indigo Shibori Duffle // Lisaro Leather,duffle-indigo-shibori,,,0,250,Duffle,,,,,,,duffle-indigo-shibori-front-by-Azellaz.jpg,duffle-indigo-shibori-back-by-Azellaz.jpg,duffle-indigo-shibori-side-by-Azellaz.jpg,,,,,
az0003,AZ0029,Medium tote - cerulean - maroon,Cerulean Medium Tote // Maroon Leather,medium-tote-cerulean-maroon-leather,,,2,150,Medium Tote,,,,,,,medium-tote-cerulean-maroon-leather-front-by-Azellaz.jpg,medium-tote-cerulean-maroon-leather-back-by-Azellaz.jpg,medium-tote-cerulean-maroon-leather-side-by-Azellaz.jpg,medium-tote-cerulean-maroon-leather-inside-by-Azellaz.jpg,,,,
az0002,AZ0032,Medium tote - indigo mountain - tan,Indigo Mountain Medium Tote // Tan Leather,medium-tote-indigo-mountain-tan-leather,,,1,150,Medium Tote,,,,,,,medium-tote-indigo-mountain-tan-leather-front-by-Azellaz.jpg,,medium-tote-indigo-mountain-tan-leather-side-by-Azellaz.jpg,medium-tote-indigo-mountain-tan-leather-inside-by-Azellaz.jpg,,,,
,AZ0033,Medium tote - indigo shibori natural - maroon,Indigo Shibori Medium Tote // Maroon Leather,medium-tote-indigo-shibori-natural-maroon-leather,,,1,150,Medium Tote,,,,,,,medium-tote-indigo-shibori-natural-maroon-leather-front-by-Azellaz.jpg,,medium-tote-indigo-shibori-natural-maroon-leather-side-by-Azellaz.jpg,medium-tote-indigo-shibori-natural-maroon-leather-inside-by-Azellaz.jpg,,,,
,AZ0034,Medium tote - indigo shibori natural - tan,Indigo Shibori Medium Tote // Tan Leather,medium-tote-indigo-shibori-natural-tan-leather,,,1,150,Medium Tote,,,,,,,medium-tote-indigo-shibori-natural-tan-leather-front-by-Azellaz.jpg,,medium-tote-indigo-shibori-natural-tan-leather-side-by-Azellaz.jpg,medium-tote-indigo-shibori-natural-tan-leather-inside-by-Azellaz.jpg,,,,
az0004,AZ0035,Small tote - cerulean - maroon,Cerulean Small Tote // Maroon Leather,small-tote-cerulean-maroon-leather,,,1,75,Small tote,,,,,,,small-tote-cerulean-maroon-leather-front-by-Azellaz.jpg,,small-tote-cerulean-maroon-leather-side-by-Azellaz.jpg,,,,,
,AZ0037,Small tote - indigo mountain - maroon,Indigo Mountain Small Tote // Maroon Leather,small-tote-indigo-mountain-maroon-leather,,,0,75,Small tote,,,,,,,small-tote-indigo-mountain-maroon-leather-front-by-Azellaz.jpg,,small-tote-indigo-mountain-maroon-leather-side-by-Azellaz.jpg,,,,,
,AZ0038,Small tote - indigo mountain - tan,Indigo Mountain Small Tote // Tan Leather,small-tote-indigo-mountain-tan-leather,,,2,75,Small tote,,,,,,,small-tote-indigo-mountain-tan-leather-front-by-Azellaz.jpg,,small-tote-indigo-mountain-tan-leather-side-by-Azellaz.jpg,,,,,
az0005,AZ0042,Small tote - indigo shibori white - black,Indigo Shibori Small Tote // Black Leather,small-tote-indigo-shibori-white-black-leather,,,0,75,Small tote,,,,,,,small-tote-indigo-shibori-white-black-leather-front-by-Azellaz.jpg,,small-tote-indigo-shibori-white-black-leather-side-by-Azellaz.jpg,,,,,
